word1,word2,PMI_score
is,the,2.3831012193623295
but,the,2.3164138719150933
and,it,2.157536697176498
that,i,1.6237645361850617
it,in,1.577653291673436
to,it,1.557946502417364
it,and,1.1946971630176133
and,the,1.007435295067297
that,the,0.8605025906237805
and,in,0.17173658278584647
and,a,0.0
